Gerakladium170031	K08798
Gerakladium114567	K03321
Gerakladium207453	K02606
Gerakladium172154	K21867
Gerakladium14588	K03320
Gerakladium5758	K13293
Gerakladium168407	K13412
Gerakladium22601	K02960
Gerakladium57414	K17600
Gerakladium48482	K10534
Gerakladium10707	K14801
Gerakladium60436	K13335
Gerakladium194328	K17362
Gerakladium45596	K01265
Gerakladium132051	K13010
Gerakladium205800	K04908
Gerakladium187862	K19199
Gerakladium148801	K01866
Gerakladium62551	K01784
Gerakladium115664	K12440
Gerakladium208264	K12861
Gerakladium96866	K05676
Gerakladium118711	K23569
Gerakladium205035	K06676
Gerakladium104074	K24750
Gerakladium205336	K11968
Gerakladium112378	K09571
Gerakladium111244	K00213
Gerakladium13321	K04905
Gerakladium186137	K04487
Gerakladium131524	K10335
Gerakladium150989	K09773
Gerakladium44697	K06515
Gerakladium10908	K06643
Gerakladium179982	K14026
Gerakladium85640	K18740
Gerakladium168013	K10422
Gerakladium135049	K14589
Gerakladium5438	K14992
Gerakladium115265	K09637
Gerakladium496	K04905
Gerakladium211307	K10684
Gerakladium16475	K22857
Gerakladium6997	K15270
Gerakladium69586	K02915
Gerakladium94377	K00325
Gerakladium209802	K03438
Gerakladium3108	K13412
Gerakladium66122	K06002
Gerakladium15867	K14803
Gerakladium74650	K16271
Gerakladium34884	K24991
Gerakladium12272	K03234
Gerakladium37060	K15738
Gerakladium187675	K19360
Gerakladium13232	K06180
Gerakladium33342	K15276
Gerakladium118213	K03249
Gerakladium111704	K03671
Gerakladium169807	K06617
Gerakladium113496	K13109
Gerakladium150859	K08292
Gerakladium185098	K21440
Gerakladium170307	K15503
Gerakladium19945	K01202
Gerakladium20680	K03119
Gerakladium152589	K22991
Gerakladium213620	K11420
Gerakladium35523	K15103
Gerakladium150654	K10807
Gerakladium156000	K03679
Gerakladium29685	K11000
Gerakladium185461	K10426
Gerakladium63500	K00615
Gerakladium189852	K22614
Gerakladium187092	K10770
Gerakladium622	K02168
Gerakladium119285	K10960
Gerakladium213291	K10380
Gerakladium154843	K01669
Gerakladium141901	K19754
Gerakladium55170	K02641
Gerakladium185095	K14326
Gerakladium209812	K00889
Gerakladium113202	K15272
Gerakladium5673	K14755
Gerakladium11419	K00927
Gerakladium169575	K13448
Gerakladium266	K01176
Gerakladium22307	K00558
Gerakladium159637	K22733
Gerakladium94830	K02998
Gerakladium133683	K02032
Gerakladium148972	K13412
Gerakladium135366	K01648
Gerakladium19730	K02991
Gerakladium135603	K22763
Gerakladium18330	K22721
Gerakladium211167	K00558
Gerakladium3273	K13412
Gerakladium21760	K00856
Gerakladium17392	K05592
Gerakladium47342	K11423
Gerakladium18187	K12888
Gerakladium213898	K15382
Gerakladium131857	K00898
Gerakladium126926	K17943
Gerakladium53374	K10380
Gerakladium60721	K10380
Gerakladium29260	K03798
Gerakladium181631	K05236
Gerakladium49519	K23048
Gerakladium5087	K23490
Gerakladium23071	K13412
Gerakladium149716	K16889
Gerakladium208242	K06413
Gerakladium13492	K24764
Gerakladium13011	K14326
Gerakladium113081	K21734
Gerakladium9450	K08163
Gerakladium37942	K10380
Gerakladium51031	K01669
Gerakladium4474	K06689
Gerakladium151272	K19755
Gerakladium116103	K01647
Gerakladium167364	K11982
Gerakladium153188	K24350
Gerakladium1871	K17065
Gerakladium150263	K01673
Gerakladium38792	K01210
Gerakladium168703	K14963
Gerakladium54052	K17530
Gerakladium211662	K07976
Gerakladium111923	K09838
Gerakladium6843	K00981
Gerakladium42116	K00898
Gerakladium23694	K12132
Gerakladium167453	K06941
Gerakladium149941	K22763
Gerakladium148816	K04427
Gerakladium206464	K00939
Gerakladium6242	K01180
Gerakladium7583	K22763
Gerakladium131270	K14457
Gerakladium269	K00323
Gerakladium154756	K16794
Gerakladium12580	K03924
Gerakladium59203	K07376
Gerakladium138284	K10860
Gerakladium133150	K05758
Gerakladium2753	K02575
Gerakladium118254	K03691
Gerakladium15838	K11000
Gerakladium49247	K08582
Gerakladium137538	K07937
Gerakladium185740	K04842
Gerakladium59136	K10380
Gerakladium66854	K20100
Gerakladium133061	K10260
Gerakladium131099	K23563
Gerakladium28976	K01377
Gerakladium185076	K04459
Gerakladium6384	K04856
Gerakladium16178	K21803
Gerakladium213658	K10859
Gerakladium73827	K17495
Gerakladium175268	K14993
Gerakladium25839	K22763
Gerakladium1965	K09567
Gerakladium40166	K11209
Gerakladium215140	K00026
Gerakladium37867	K03929
Gerakladium149287	K10380
Gerakladium132122	K15026
Gerakladium131577	K10380
Gerakladium9675	K08151
Gerakladium26968	K11592
Gerakladium133424	K02917
Gerakladium208040	K14863
Gerakladium135947	K02183
Gerakladium105173	K22763
Gerakladium210772	K09578
Gerakladium136715	K01869
Gerakladium154366	K23029
Gerakladium53126	K10465
Gerakladium133132	K03768
Gerakladium113638	K09569
Gerakladium7000	K22763
Gerakladium152977	K08796
Gerakladium37675	K10380
Gerakladium168127	K05941
Gerakladium151471	K02433
Gerakladium114007	K05349
Gerakladium188583	K03363
Gerakladium170577	K05546
Gerakladium2513	K07404
Gerakladium217070	K19589
Gerakladium132893	K16289
Gerakladium114720	K01226
Gerakladium131761	K14724
Gerakladium802	K08582
Gerakladium133582	K02183
Gerakladium3604	K00799
Gerakladium150149	K16746
Gerakladium173699	K05592
Gerakladium27401	K00101
Gerakladium10518	K12850
Gerakladium219782	K10418
Gerakladium188166	K19760
Gerakladium13100	K08738
Gerakladium148844	K01076
Gerakladium34588	K13412
Gerakladium113109	K10770
Gerakladium10477	K19760
Gerakladium24910	K04955
Gerakladium64012	K20498
Gerakladium131049	K03284
Gerakladium2677	K20045
Gerakladium2749	K00002
Gerakladium314	K02699
Gerakladium44411	K14445
Gerakladium83960	K22745
Gerakladium188488	K15047
Gerakladium42693	K01201
Gerakladium151957	K09517
Gerakladium119920	K12611
Gerakladium90659	K02838
Gerakladium151253	K04774
Gerakladium168688	K09486
Gerakladium29288	K13412
Gerakladium158733	K15263
Gerakladium167624	K10799
Gerakladium10918	K03234
Gerakladium208019	K16726
Gerakladium115217	K16060
Gerakladium149018	K01510
Gerakladium4192	K02941
Gerakladium104784	K04460
Gerakladium193796	K05765
Gerakladium207249	K19737
Gerakladium119767	K10949
Gerakladium39781	K08573
Gerakladium51204	K02896
Gerakladium14177	K10380
Gerakladium207107	K03146
Gerakladium52229	K09578
Gerakladium1980	K00134
Gerakladium1551	K03243
Gerakladium59156	K03108
Gerakladium4144	K02974
Gerakladium7872	K17341
Gerakladium25166	K15102
Gerakladium42140	K05765
Gerakladium169296	K13412
Gerakladium168876	K01179
Gerakladium2308	K03164
Gerakladium38772	K07937
Gerakladium114537	K08869
Gerakladium1823	K06901
Gerakladium188096	K07342
Gerakladium12206	K00733
Gerakladium185480	K13761
Gerakladium22236	K06179
Gerakladium131164	K14990
Gerakladium120115	K03010
Gerakladium4403	K11744
Gerakladium137062	K04097
Gerakladium188256	K13100
Gerakladium11851	K03362
Gerakladium117461	K04854
Gerakladium36501	K10799
Gerakladium17585	K00927
