Gerakladium130670	
Gerakladium115605	Intracellular trafficking, secretion, and vesicular transport
Gerakladium205376	Carbohydrate transport and metabolism
Gerakladium17080	Carbohydrate transport and metabolism
Gerakladium188583	
Gerakladium34042	Secondary metabolites biosynthesis, transport and catabolism
Gerakladium113406	Secondary metabolites biosynthesis, transport and catabolism
Gerakladium4221	Signal transduction mechanisms
Gerakladium130920	Translation, ribosomal structure and biogenesis
Gerakladium92385	Signal transduction mechanisms
Gerakladium133053	Carbohydrate transport and metabolism
Gerakladium19896	Translation, ribosomal structure and biogenesis
Gerakladium66743	Posttranslational modification, protein turnover, chaperones
Gerakladium11715	Translation, ribosomal structure and biogenesis
Gerakladium151181	Replication, recombination and repair
Gerakladium149622	Cell cycle control, cell division, chromosome partitioning
Gerakladium35029	Replication, recombination and repair
Gerakladium167542	Signal transduction mechanisms
Gerakladium192843	Transcription
Gerakladium109699	Translation, ribosomal structure and biogenesis
Gerakladium205500	Cell wall/membrane/envelope biogenesis
Gerakladium198215	Coenzyme transport and metabolism
Gerakladium53914	Translation, ribosomal structure and biogenesis
Gerakladium205972	Cell cycle control, cell division, chromosome partitioning
Gerakladium138781	Coenzyme transport and metabolism
Gerakladium136663	Cell cycle control, cell division, chromosome partitioning
Gerakladium9084	RNA processing and modification
Gerakladium172344	Energy production and conversion
Gerakladium118060	Posttranslational modification, protein turnover, chaperones
Gerakladium13378	Energy production and conversion
Gerakladium111344	Inorganic ion transport and metabolism
Gerakladium52872	Posttranslational modification, protein turnover, chaperones
Gerakladium186582	
Gerakladium6757	Translation, ribosomal structure and biogenesis
Gerakladium194190	Signal transduction mechanisms
Gerakladium152648	Cell motility
Gerakladium217103	Posttranslational modification, protein turnover, chaperones
Gerakladium8827	RNA processing and modification
Gerakladium13662	Energy production and conversion
Gerakladium20719	Translation, ribosomal structure and biogenesis
Gerakladium102087	Intracellular trafficking, secretion, and vesicular transport
Gerakladium44455	Posttranslational modification, protein turnover, chaperones
Gerakladium133474	
Gerakladium197360	Inorganic ion transport and metabolism
Gerakladium205004	Posttranslational modification, protein turnover, chaperones
Gerakladium20927	Amino acid transport and metabolism
Gerakladium18275	
Gerakladium32215	Nucleotide transport and metabolism
Gerakladium77656	Translation, ribosomal structure and biogenesis
Gerakladium206490	Posttranslational modification, protein turnover, chaperones
Gerakladium40927	RNA processing and modification
Gerakladium993	Energy production and conversion
Gerakladium151709	Lipid transport and metabolism
Gerakladium205953	RNA processing and modification
Gerakladium213946	Translation, ribosomal structure and biogenesis
Gerakladium26224	Posttranslational modification, protein turnover, chaperones
Gerakladium190818	Amino acid transport and metabolism
