Cvarians477626	Signal transduction mechanisms
Cvarians40288	Translation, ribosomal structure and biogenesis
Cvarians9980	Signal transduction mechanisms
Cvarians50743	
Cvarians8121	Posttranslational modification, protein turnover, chaperones
Cvarians55361	Posttranslational modification, protein turnover, chaperones
Cvarians64745	Translation, ribosomal structure and biogenesis
Cvarians418404	
Cvarians185190	RNA processing and modification
Cvarians68494	Amino acid transport and metabolism
Cvarians38961	Amino acid transport and metabolism
Cvarians111244	RNA processing and modification
Cvarians167999	Amino acid transport and metabolism
Cvarians22365	
Cvarians253318	Secondary metabolites biosynthesis, transport and catabolism
Cvarians44626	Posttranslational modification, protein turnover, chaperones
Cvarians131347	Signal transduction mechanisms
Cvarians91194	Posttranslational modification, protein turnover, chaperones
Cvarians31334	Amino acid transport and metabolism
Cvarians74595	Replication, recombination and repair
Cvarians34042	Translation, ribosomal structure and biogenesis
Cvarians14243	Amino acid transport and metabolism
Cvarians72710	Translation, ribosomal structure and biogenesis
Cvarians186647	RNA processing and modification
Cvarians405340	Lipid transport and metabolism
Cvarians2448	Translation, ribosomal structure and biogenesis
Cvarians3	Cytoskeleton
Cvarians181099	RNA processing and modification
Cvarians6047	Secondary metabolites biosynthesis, transport and catabolism
Cvarians40587	Posttranslational modification, protein turnover, chaperones
Cvarians476102	Energy production and conversion
Cvarians94860	Translation, ribosomal structure and biogenesis
Cvarians34232	Replication, recombination and repair
Cvarians1925	RNA processing and modification
Cvarians8351	Replication, recombination and repair
Cvarians3788	Lipid transport and metabolism
Cvarians304029	Amino acid transport and metabolism
Cvarians94101	Posttranslational modification, protein turnover, chaperones
Cvarians124921	Signal transduction mechanisms
Cvarians10338	RNA processing and modification
Cvarians77730	Translation, ribosomal structure and biogenesis
Cvarians221579	Posttranslational modification, protein turnover, chaperones
Cvarians178535	Cytoskeleton
Cvarians8870	Energy production and conversion
Cvarians217179	Energy production and conversion
Cvarians319115	Translation, ribosomal structure and biogenesis
Cvarians178683	Signal transduction mechanisms
Cvarians342575	Translation, ribosomal structure and biogenesis
Cvarians26378	
Cvarians478232	Inorganic ion transport and metabolism
Cvarians50009	Posttranslational modification, protein turnover, chaperones
Cvarians3709	Signal transduction mechanisms
Cvarians94164	Cell wall/membrane/envelope biogenesis
Cvarians5710	Intracellular trafficking, secretion, and vesicular transport
Cvarians474955	RNA processing and modification
Cvarians4682	Coenzyme transport and metabolism
Cvarians54542	Signal transduction mechanisms
Cvarians406653	Posttranslational modification, protein turnover, chaperones
Cvarians81357	Amino acid transport and metabolism
Cvarians421973	
Cvarians416904	RNA processing and modification
Cvarians295401	Transcription
Cvarians70917	Energy production and conversion
Cvarians33377	Replication, recombination and repair
Cvarians236294	Posttranslational modification, protein turnover, chaperones
Cvarians179650	
Cvarians370809	Signal transduction mechanisms
