Cvarians9779	K13953
Cvarians422509	K03233
Cvarians55301	K19757
Cvarians227993	K02947
Cvarians245159	K04564
Cvarians405292	K07440
Cvarians22523	K00508
Cvarians1781	K24047
Cvarians465671	K07497
Cvarians229736	K18466
Cvarians33405	K12854
Cvarians350885	K00939
Cvarians242080	K03012
Cvarians3161	K03217
Cvarians307833	K20780
Cvarians305913	K09506
Cvarians158826	K01557
Cvarians21006	K06173
Cvarians408767	K17255
Cvarians340856	K05954
Cvarians9416	K11997
Cvarians100948	K18422
Cvarians149688	K11991
Cvarians180457	K18743
Cvarians95480	K12863
Cvarians175383	K03178
Cvarians282820	K00344
Cvarians156153	K12504
Cvarians225143	K00164
Cvarians475089	K09583
Cvarians192252	K19525
Cvarians487855	K14961
Cvarians10019	K01689
Cvarians60866	K00963
Cvarians50913	K02973
Cvarians286509	K23327
Cvarians90282	K03006
Cvarians144799	K17260
Cvarians7766	K11844
Cvarians14301	K11450
Cvarians8844	K04409
Cvarians67425	K10640
Cvarians110396	K06215
Cvarians150802	K06777
Cvarians12615	K14768
Cvarians22151	K12495
Cvarians404557	K20526
Cvarians90814	K09667
Cvarians461843	K10615
Cvarians478200	K07509
Cvarians6593	K14835
Cvarians71928	K10591
Cvarians5380	K07298
Cvarians225918	K02925
Cvarians12597	K21437
Cvarians23470	K14539
Cvarians14647	K06271
Cvarians435030	K14810
Cvarians229120	K00507
Cvarians70892	K11684
Cvarians22630	K15789
Cvarians108236	K09113
Cvarians22226	K12311
Cvarians26435	K21289
Cvarians105273	K05665
Cvarians23721	K00162
Cvarians61493	K17300
Cvarians175842	K15523
Cvarians473969	K04428
Cvarians19270	K08791
Cvarians2595	K12620
Cvarians139116	K07497
Cvarians27487	K12035
Cvarians149347	K01379
Cvarians71798	K24069
Cvarians138444	K14963
Cvarians7573	K14510
Cvarians106902	K14403
Cvarians32034	K14847
Cvarians47756	K00106
Cvarians71644	K24205
Cvarians364162	K07936
Cvarians35151	K17592
Cvarians429438	K22182
Cvarians17269	K00948
Cvarians11517	K11138
Cvarians42743	K13126
Cvarians53938	K23518
Cvarians179659	K15111
Cvarians177848	K07238
Cvarians355144	K15789
Cvarians236220	K00522
Cvarians68886	K08869
Cvarians23531	K24470
Cvarians73912	K22754
Cvarians86264	K06545
Cvarians421617	K17920
Cvarians350369	K15106
Cvarians155330	K19993
Cvarians180673	K14539
Cvarians1604	K24996
Cvarians127856	K24083
Cvarians288216	K02880
Cvarians1059	K08592
Cvarians91100	K02599
Cvarians24761	K12132
Cvarians94180	K04532
Cvarians118142	K00382
Cvarians55278	K10614
Cvarians93417	K03257
Cvarians7442	K14429
Cvarians181669	K02154
Cvarians3288	K20051
Cvarians111684	K12176
Cvarians86806	K24047
Cvarians199546	K13524
Cvarians187829	K07889
Cvarians34002	K17635
Cvarians97814	K10576
Cvarians136434	K11338
Cvarians38073	K03173
Cvarians10501	K07204
Cvarians225706	K02951
Cvarians12814	K23033
Cvarians323493	K01069
Cvarians353607	K01540
Cvarians480839	K01880
Cvarians184076	K03977
Cvarians493328	K14724
Cvarians62782	K03165
Cvarians5160	K14313
Cvarians16031	K13184
Cvarians469330	K07304
Cvarians150268	K00002
Cvarians290167	K06689
Cvarians635	K22128
Cvarians340099	K16506
Cvarians198000	K02183
Cvarians113662	K10413
Cvarians187415	K17495
Cvarians13067	K03678
Cvarians76270	K12849
Cvarians220286	K16794
Cvarians23346	K22544
Cvarians24720	K09595
Cvarians12025	K14403
Cvarians1766	K01065
Cvarians57364	K10463
Cvarians105096	K04437
Cvarians77140	K04382
Cvarians9482	K16862
Cvarians174967	K12193
Cvarians185431	K19867
Cvarians401190	K07565
Cvarians29288	K24674
Cvarians281952	K12614
Cvarians493065	K06620
Cvarians8613	K01495
Cvarians404079	K23893
Cvarians430042	K15025
Cvarians126272	K17275
Cvarians193029	K07880
Cvarians46503	K10422
Cvarians17720	K04829
Cvarians2300	K09403
Cvarians13625	K03510
Cvarians16996	K13115
Cvarians10344	K13376
Cvarians52831	K17307
Cvarians91132	K17592
Cvarians13674	K13275
Cvarians408487	K02154
Cvarians221017	K08059
Cvarians118310	K00816
Cvarians280562	K10777
Cvarians69869	K20526
Cvarians248784	K02997
Cvarians304904	K03097
Cvarians88360	K07374
Cvarians342460	K17338
Cvarians409948	K01001
Cvarians70373	K05015
Cvarians74705	K03097
Cvarians74941	K12035
Cvarians28024	K02936
Cvarians89432	K17424
Cvarians131725	K04043
Cvarians213420	K01955
Cvarians74439	K12815
Cvarians120018	K10205
Cvarians110895	K17757
Cvarians459228	K17266
Cvarians25671	K16726
Cvarians480403	K18410
Cvarians33513	K02938
Cvarians441841	K13218
Cvarians119292	K09502
Cvarians118067	K09848
Cvarians26814	K06130
Cvarians113688	K19329
Cvarians75202	K17095
Cvarians62952	K01990
Cvarians231488	K14778
Cvarians67868	K05113
Cvarians402463	K04378
Cvarians31700	K13025
Cvarians45960	K17535
Cvarians170722	K01262
Cvarians118347	K18437
Cvarians417895	K13187
