Gerakladium130670	Beta-ketoacyl synthase
Gerakladium190229	Pathogen-related
Gerakladium115605	signal peptide processing
Gerakladium205376	6phosphofructo2kinase
Gerakladium23852	1,3-beta-D-glucan synthase activity
Gerakladium17080	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) activity
Gerakladium188583	Cell division cycle
Gerakladium34042	Non-ribosomal peptide synthetase modules and related proteins
Gerakladium113406	O-methyltransferase
Gerakladium4221	Calcium ion binding
Gerakladium130920	Belongs to the universal ribosomal protein uS9 family
Gerakladium92385	cGMP-dependent protein kinase
Gerakladium9661	PH domain
Gerakladium133053	procollagen galactosyltransferase activity
Gerakladium19896	ferrous iron binding
Gerakladium58282	RPAP1-like, C-terminal
Gerakladium66743	Tetratricopeptide repeat
Gerakladium11715	Belongs to the eukaryotic ribosomal protein P1 P2 family
Gerakladium151181	plastid DNA replication
Gerakladium149622	RNA-binding protein mei2 homologue
Gerakladium35029	tRNA (guanine) methyltransferase activity
Gerakladium167542	PFAM HPP family
Gerakladium192843	Sir2 family
Gerakladium109699	Pseudouridine synthase, RluA family
Gerakladium205500	Belongs to the NAD(P)-dependent epimerase dehydratase family
Gerakladium198215	riboflavin kinase activity
Gerakladium53914	ATPase activity
Gerakladium205972	RNA-binding protein mei2 homologue
Gerakladium138781	Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate
Gerakladium17791	Interferon-inducible GTPase
Gerakladium197968	regulation of centriole replication
Gerakladium136663	PP-loop family
Gerakladium9084	The RING-variant domain is a C4HC3 zinc-finger like motif found in a number of cellular and viral proteins. Some of these proteins have been shown both in vivo and in vitro to have ubiquitin E3 ligase activity.
Gerakladium205591	Domain of unknown function (DUF1736)
Gerakladium172344	Functions as an electron carrier between membrane-bound cytochrome b6-f and photosystem I in oxygenic photosynthesis
Gerakladium118060	prefoldin subunit 5
Gerakladium13378	Cytochrome C oxidase, cbb3-type, subunit III
Gerakladium111344	Ammonium transporter
Gerakladium12206	N-acetyllactosamine synthase activity
Gerakladium52872	Peptidyl-prolyl cis-trans isomerase
Gerakladium186582	serine threonine protein kinase
Gerakladium6757	Responsible for synthesis of pseudouridine from uracil
Gerakladium194190	Belongs to the BI1 family
Gerakladium152648	Dynein light chain protein
Gerakladium217103	Belongs to the peptidase C1 family
Gerakladium8827	Type III restriction enzyme, res subunit
Gerakladium13662	Electron carrier protein. The oxidized form of the cytochrome c heme group can accept an electron from the heme group of the cytochrome c1 subunit of cytochrome reductase. Cytochrome c then transfers this electron to the cytochrome oxidase complex, the final protein carrier in the mitochondrial electron-transport chain
Gerakladium20719	Belongs to the pseudouridine synthase RluA family
Gerakladium102087	kinase activity
Gerakladium44455	Belongs to the ClpA ClpB family
Gerakladium133474	oxidation-reduction process
Gerakladium197360	Divalent cation transporter
Gerakladium205004	peptidyl-prolyl cis-trans isomerase
Gerakladium71102	Catalytic LigB subunit of aromatic ring-opening dioxygenase
Gerakladium20927	Belongs to the DegT DnrJ EryC1 family
Gerakladium18275	Exostosin family
Gerakladium32215	ATP binding
Gerakladium77656	60S ribosomal protein L22. Source PGD
Gerakladium21266	U-box domain
Gerakladium206490	calcium-dependent cysteine-type endopeptidase activity
Gerakladium40927	helicase superfamily c-terminal domain
Gerakladium993	NADH-dependent fumarate reductase
Gerakladium151709	enoyl-CoA delta isomerase 2
Gerakladium205953	isoform X1
Gerakladium213946	2-(3-amino-3-carboxypropyl)histidine synthase activity
Gerakladium26224	AAA family ATPase
Gerakladium190818	branched-chain-amino-acid transaminase activity
Gerakladium77029	voltage-gated potassium channel activity
Gerakladium39834	Sugar phosphate phosphate translocator
Gerakladium113081	Fatty acid desaturase
Gerakladium116606	Belongs to the ATG8 family
Gerakladium22601	structural constituent of ribosome
Gerakladium59219	7SK snRNA binding
Gerakladium113638	Peptidyl-prolyl cis-trans isomerase
Gerakladium121202	Na H antiporter
Gerakladium133929	E3 ubiquitin-protein ligase
Gerakladium131824	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Gerakladium42727	Linear amide C-N hydrolases, choloylglycine hydrolase family
Gerakladium190420	Mei2-like
Gerakladium186496	antiporter activity
Gerakladium112960	carbohydrate binding
Gerakladium206339	calcium-dependent cysteine-type endopeptidase activity
Gerakladium150521	Core-2/I-Branching enzyme
Gerakladium71004	Glycoside hydrolase. Source PGD
Gerakladium133376	Responsible for synthesis of pseudouridine from uracil- 13 in transfer RNAs
Gerakladium148935	Polcalcin Nic t 1
Gerakladium114937	Cyclin-dependent kinase inhibitor 3 (CDKN3)
Gerakladium205613	protein ubiquitination
Gerakladium148738	N-alpha-acetyltransferase
Gerakladium2749	oxidoreductase activity
Gerakladium111214	Belongs to the bacterial glucokinase family
Gerakladium169259	peptide-aspartate beta-dioxygenase activity
Gerakladium150640	SART-1 family
Gerakladium33443	Erythronate-4-phosphate dehydrogenase domain-containing protein
Gerakladium112474	Belongs to the CDP-alcohol phosphatidyltransferase class-I family
Gerakladium188393	methyltransferase activity
Gerakladium160478	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins
Gerakladium69366	GTPase activator activity
Gerakladium131613	guanine transport
Gerakladium7962	fucoxanthin chlorophyll a c protein
Gerakladium149448	to Saccharomyces cerevisiae YPK1 (YKL126W) and YPK2 (YMR104C)
Gerakladium29982	serine dehydratase beta chain
Gerakladium74025	Protein tyrosine kinase
Gerakladium107029	FKBP-type peptidyl-prolyl cis-trans isomerase
